slang,expansion,type
disgusting,causing revulsion,negative
revolting,extremely disgusting,negative
repulsive,extremely disgusting,negative
vile,extremely bad,negative
despicable,deserving contempt,negative
deplorable,very bad,negative
abhorrent,extremely bad,negative
loathsome,extremely disgusting,negative
kill yourself,direct threat,negative
go die,direct threat,negative
drop dead,direct threat,negative
end yourself,direct threat,negative
off yourself,direct threat,negative
unalive yourself,direct threat,negative
rope yourself,direct threat,negative
jump off,direct threat,negative
hang yourself,direct threat,negative
shoot yourself,direct threat,negative
i hate you,hate expression,negative
i despise you,hate expression,negative
i loathe you,hate expression,negative
you disgust me,hate expression,negative
you make me sick,hate expression,negative
you are pathetic,insult expression,negative
you are worthless,insult expression,negative
you are nothing,insult expression,negative
you are garbage,insult expression,negative
you are trash,insult expression,negative
nobody likes you,exclusion expression,negative
nobody wants you,exclusion expression,negative
nobody cares about you,exclusion expression,negative
you have no friends,exclusion expression,negative
you are alone,exclusion expression,negative
go away,exclusion expression,negative
get out of here,exclusion expression,negative
you do not belong,exclusion expression,negative
you are not welcome,exclusion expression,negative
wyd,What you doing,neutral
